GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
eq21,br.ufpb.dsc.mercado.config,JwtAuthFilter,0,74,2,8,0,21,2,5,0,2
eq21,br.ufpb.dsc.mercado.config,SecurityConfig,0,177,0,0,0,29,0,8,0,8
eq21,br.ufpb.dsc.mercado.config,BucketInitializer,0,78,0,0,0,24,0,5,0,5
eq21,br.ufpb.dsc.mercado.config,DataInitializer,0,43,0,2,0,12,0,4,0,3
eq21,br.ufpb.dsc.mercado.config,S3Config,33,0,0,0,10,0,2,0,2,0
eq21,br.ufpb.dsc.mercado.config,AuditoriaAspect,12,265,9,23,3,48,9,19,0,11
eq21,br.ufpb.dsc.mercado.service,UploadService,0,89,2,8,0,23,2,7,0,4
eq21,br.ufpb.dsc.mercado.service,FunkoService,0,155,3,9,0,36,3,13,0,10
eq21,br.ufpb.dsc.mercado.service,UsuarioDetailsService,0,21,0,0,0,5,0,3,0,3
eq21,br.ufpb.dsc.mercado.service,AuditoriaService,0,52,0,0,0,8,0,3,0,3
eq21,br.ufpb.dsc.mercado.service,FunkoAnaliseService,12,66,1,3,0,17,2,4,1,3
eq21,br.ufpb.dsc.mercado.service,JwtService,0,80,1,3,0,20,1,7,0,6
eq21,br.ufpb.dsc.mercado.service,AuthService,0,90,0,4,0,23,0,6,0,4
eq21,br.ufpb.dsc.mercado.controller,FunkoController,0,71,1,3,0,16,1,8,0,7
eq21,br.ufpb.dsc.mercado.controller,AuthController,0,20,0,0,0,5,0,3,0,3
eq21,br.ufpb.dsc.mercado.controller,SpaController,5,0,0,0,2,0,2,0,2,0
eq21,br.ufpb.dsc.mercado.controller,UploadController,12,0,0,0,4,0,2,0,2,0
eq21,br.ufpb.dsc.mercado.controller,PingController,0,12,0,0,0,3,0,2,0,2
eq21,br.ufpb.dsc.mercado.exception,GlobalExceptionHandler,3,57,1,1,1,13,2,7,1,7
eq21,br.ufpb.dsc.mercado.exception,FunkoNaoEncontradoException,0,5,0,0,0,2,0,1,0,1
eq21,br.ufpb.dsc.mercado.exception,EmailJaCadastradoException,0,5,0,0,0,2,0,1,0,1
eq21,br.ufpb.dsc.mercado.domain,LogAuditoria,13,45,0,0,5,16,4,8,4,8
eq21,br.ufpb.dsc.mercado.domain,Role,0,15,0,0,0,2,0,1,0,1
eq21,br.ufpb.dsc.mercado.domain,Usuario,6,33,0,0,2,10,2,6,2,6
eq21,br.ufpb.dsc.mercado.domain,Funko,14,49,0,0,6,16,3,12,3,12
eq21,br.ufpb.dsc.mercado,MercadoApplication,5,3,0,0,2,1,1,1,1,1
eq21,br.ufpb.dsc.mercado.dto,RegisterRequest,0,9,0,0,0,1,0,1,0,1
eq21,br.ufpb.dsc.mercado.dto,FunkoRequest,0,12,0,0,0,1,0,1,0,1
eq21,br.ufpb.dsc.mercado.dto,TokenResponse,0,23,0,0,0,2,0,2,0,2
eq21,br.ufpb.dsc.mercado.dto,FunkoResponse,0,42,0,0,0,9,0,2,0,2
eq21,br.ufpb.dsc.mercado.dto,LoginRequest,0,9,0,0,0,1,0,1,0,1
eq21,br.ufpb.dsc.mercado.dto,FunkoAnaliseResponse,0,12,0,0,0,1,0,1,0,1
